// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
0	1.008333	F3	53	31	0	0.294271	F3	53	127	
1	1.522917	G#5	80	45	1	0.588542	G#5	80	127	
2	1.940625	C6	84	51	2	0.882812	C6	84	127	
3	2.397917	G#5	80	49	3	1.177083	G#5	80	127	
4	2.846875	F5	77	47	5	1.471354	F5	77	127	
5	2.854167	F3	53	31	4	1.471354	F3	53	127	
6	3.315625	C5	72	45	6	1.765625	C5	72	127	
7	3.741667	C#5	73	49	7	2.059896	C#5	73	127	
8	4.193750	G#4	68	53	8	2.354167	G#4	68	127	
9	4.648958	Bb4	70	51	12	2.648438	Bb4	70	127	
10	4.663542	G3	55	27	9	2.648438	G3	55	127	
11	4.671875	F4	65	30	11	2.648438	F4	65	127	
12	4.678125	Bb3	58	26	10	2.648438	Bb3	58	127	
13	5.100000	G5	79	57	13	2.942708	G5	79	127	
14	5.514583	Bb5	82	64	14	3.236979	Bb5	82	127	
15	5.923958	G5	79	61	15	3.531250	G5	79	127	
16	6.368750	G3	55	23	18	3.825521	G3	55	127	
17	6.368750	Bb3	58	32	17	3.825521	Bb3	58	127	
18	6.375000	E5	76	52	19	3.825521	E5	76	127	
19	6.389583	E4	64	29	16	3.825521	E4	64	127	
20	6.800000	C5	72	61	20	4.119792	C5	72	127	
21	7.216667	C#5	73	61	21	4.414062	C#5	73	127	
22	7.639583	Bb4	70	63	22	4.708333	Bb4	70	127	
23	8.075000	G#3	56	41	23	5.002604	G#3	56	127	
24	8.090625	C5	72	60	26	5.002604	C5	72	127	
25	8.096875	F4	65	31	24	5.002604	F4	65	127	
26	8.104167	C4	60	34	25	5.002604	C4	60	127	
27	8.521875	F5	77	66	27	5.296875	F5	77	127	
28	8.926042	G#5	80	74	28	5.591146	G#5	80	127	
29	9.340625	F5	77	67	29	5.885417	F5	77	127	
30	9.771875	C5	72	66	32	6.179688	C5	72	127	
31	9.775000	G#3	56	43	31	6.179688	G#3	56	127	
32	9.785417	C4	60	36	30	6.179688	C4	60	127	
33	10.182292	G#4	68	71	33	6.473958	G#4	68	127	
34	10.609375	F4	65	59	34	6.768229	F4	65	127	
35	11.053125	C4	60	68	35	7.062500	C4	60	127	
36	11.627083	Bb3	58	43	37	7.356771	Bb3	58	127	
37	11.633333	C#4	61	45	36	7.356771	C#4	61	127	
38	11.638542	C#5	73	75	38	7.356771	C#5	73	127	
39	12.206250	E4	64	58	39	7.651042	E4	64	127	
40	12.593750	C4	60	38	41	7.945312	C4	60	127	
41	12.596875	F4	65	53	42	7.945312	F4	65	127	
42	12.610417	G#3	56	33	40	7.945312	G#3	56	127	
43	13.018750	C5	72	64	43	8.239583	C5	72	127	
44	13.417708	G4	67	49	46	8.533854	G4	67	127	
45	13.422917	G3	55	29	44	8.533854	G3	55	127	
46	13.428125	Bb3	58	38	45	8.533854	Bb3	58	127	
47	13.813542	Bb4	70	58	47	8.828125	Bb4	70	127	
48	14.232292	G#4	68	55	51	9.122396	G#4	68	127	
49	14.265625	F4	65	34	50	9.122396	F4	65	127	
50	14.271875	C3	48	37	49	9.122396	C3	48	127	
51	14.284375	C4	60	35	48	9.122396	C4	60	127	
52	14.708333	G4	67	57	52	9.416667	G4	67	127	
53	14.717708	E4	64	38	53	9.416667	E4	64	127	
54	15.160417	G#4	68	52	56	9.710938	G#4	68	127	
55	15.166667	F4	65	31	55	9.710938	F4	65	127	
