// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
0	1.016927	Eb4	63	57	1	0.600000	Eb4	63	44	
1	1.020833	Eb3	51	33	0	0.600000	Eb3	51	42	
2	1.769531	Eb4	63	70	5	1.323214	Eb4	63	47	
3	1.777344	Eb3	51	44	3	1.323214	Eb3	51	45	
4	1.785156	C4	60	51	4	1.323214	C4	60	47	
5	1.799479	G#2	44	44	2	1.323214	G#2	44	45	
6	2.645833	G#4	68	62	7	2.037500	G#4	68	46	
7	2.649740	G#3	56	42	6	2.037500	G#3	56	44	
8	3.329427	G#4	68	68	9	2.751785	G#4	68	44	
9	3.354167	G#3	56	43	8	2.751785	G#3	56	42	
10	3.954427	G#4	68	67	15	3.474999	G#4	68	47	
11	3.959635	Eb3	51	42	11	3.474999	Eb3	51	47	
12	3.967448	Bb2	46	37	10	3.474999	Bb2	46	47	
13	3.970052	C#4	61	46	13	3.474999	C#4	61	47	
14	3.977865	G#3	56	45	12	3.474999	G#3	56	47	
15	3.986979	Eb4	63	44	14	3.474999	Eb4	63	47	
16	4.236979	G4	67	69	17	3.832142	G4	67	47	
17	4.250000	G3	55	53	16	3.832142	G3	55	47	
18	4.601562	G4	67	64	19	4.189285	G4	67	46	
19	4.604167	G3	55	50	18	4.189285	G3	55	46	
20	5.113281	F4	65	55	21	4.724999	F4	65	45	
21	5.132812	F3	53	42	20	4.724999	F3	53	45	
22	5.239583	G3	55	46	22	4.903570	G3	55	45	
23	5.257812	G4	67	63	23	4.903570	G4	67	45	
24	5.755208	Eb4	63	60	25	5.439284	Eb4	63	44	
25	5.766927	Eb3	51	54	24	5.439284	Eb3	51	44	
26	5.877604	G#4	68	71	27	5.617856	G#4	68	46	
27	5.889323	G#3	56	60	26	5.617856	G#3	56	44	
28	6.527344	Eb4	63	57	29	6.332141	Eb4	63	47	
29	6.532552	C3	48	61	28	6.332141	C3	48	49	
30	7.149740	Bb4	70	79	34	7.046427	Bb4	70	51	
31	7.160156	Bb3	58	72	32	7.046427	Bb3	58	51	
32	7.161458	Eb4	63	63	33	7.046427	Eb4	63	51	
33	7.175781	Eb3	51	58	31	7.046427	Eb3	51	50	
