// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
0	0.795833	D2	38	80	0	1.097617	D2	38	46	
1	0.872917	A2	45	85	1	1.163494	A2	45	51	
2	0.962500	D3	50	84	2	1.224400	D3	50	55	
3	1.030208	A3	57	102	4	1.280892	A3	57	55	
4	1.031250	A4	69	95	6	1.280892	A4	69	65	
5	1.032292	F3	53	87	3	1.280892	F3	53	63	
6	1.032292	D4	62	93	5	1.280892	D4	62	55	
7	1.035417	F4	65	77	*	-1	*	-1	-1	
8	2.433333	E2	40	72	7	2.043016	E2	40	44	
9	2.529167	A2	45	68	8	2.112366	A2	45	48	
10	2.600000	C#3	49	80	9	2.177011	C#3	49	53	
11	2.704167	G3	55	81	10	2.237460	G3	55	48	
12	2.713542	C#4	61	81	12	2.237460	C#4	61	61	
13	2.714583	A3	57	87	11	2.237460	A3	57	61	
14	2.714583	A4	69	86	13	2.237460	A4	69	72	
15	2.717708	C#3	49	76	*	-1	*	-1	-1	
16	4.904167	A3	57	83	14	3.527061	A3	57	54	
17	4.904167	A4	69	88	15	3.527061	A4	69	63	
18	5.636458	D4	62	77	21	3.936897	D4	62	59	
19	5.636458	A4	69	88	22	3.936897	A4	69	70	
20	5.638542	A3	57	81	20	3.936897	A3	57	70	
21	5.648958	F3	53	70	19	3.936897	F3	53	59	
22	5.655208	D3	50	64	18	3.936897	D3	50	59	
23	5.656250	F2	41	56	16	3.936897	F2	41	50	
24	5.665625	A2	45	65	17	3.936897	A2	45	50	
25	6.925000	A4	69	83	30	4.857142	A4	69	68	
26	6.927083	A3	57	88	27	4.857142	A3	57	68	
27	6.930208	E4	64	76	29	4.857142	E4	64	57	
28	6.931250	C4	60	84	28	4.857142	C4	60	57	
29	6.933333	C3	48	76	25	4.857142	C3	48	51	
30	6.936458	E3	52	80	26	4.857142	E3	52	60	
31	6.938542	A2	45	73	24	4.857142	A2	45	51	
32	6.942708	E2	40	76	23	4.857142	E2	40	51	
