// alignID alignOntime alignSitch alignPitch alignOnvel refID refOntime refSitch refPitch refOnvel
0	3.813802	Bb1	34	75	1	3.125000	Bb1	34	98	
1	3.813802	Bb2	46	90	0	3.122396	Bb2	46	99	
2	3.891927	Eb2	39	104	4	3.341146	Eb2	39	104	
3	3.891927	Eb3	51	99	2	3.299479	Eb3	51	107	
4	3.893229	Eb1	27	100	3	3.317708	Eb1	27	110	
5	4.575521	G2	43	87	5	4.419271	G2	43	89	
6	4.576823	G3	55	85	6	4.419271	G3	55	92	
7	4.580729	G1	31	75	7	4.437500	G1	31	95	
8	4.675781	G#3	56	105	8	4.601562	G#3	56	94	
9	4.683594	G#2	44	108	9	4.604167	G#2	44	88	
10	4.684896	G#1	32	90	10	4.609375	G#1	32	95	
11	5.115885	A2	45	101	12	5.302083	A2	45	95	
12	5.115885	A3	57	100	11	5.296875	A3	57	91	
13	5.118490	A1	33	93	13	5.307292	A1	33	94	
14	5.696615	Bb3	58	106	14	5.994792	Bb3	58	92	
15	5.700521	Bb2	46	102	16	6.028646	Bb2	46	95	
16	5.703125	Bb1	34	90	15	6.000000	Bb1	34	92	
17	6.686198	Eb5	75	103	19	7.151042	Eb5	75	83	
18	6.687500	Bb5	82	98	*	-1	*	-1	-1	
19	6.690104	G4	67	101	20	7.153646	G4	67	85	
20	6.690104	G5	79	101	22	7.187500	G5	79	82	
21	6.690104	Eb6	87	103	*	-1	*	-1	-1	
22	6.691406	G6	91	100	*	-1	*	-1	-1	
23	6.695312	Eb4	63	87	21	7.164062	Eb4	63	79	
24	6.701823	G3	55	89	*	-1	*	-1	-1	
25	6.703125	Bb3	58	92	18	7.083333	Bb3	58	79	
26	7.864583	Bb1	34	78	25	8.302083	Bb1	34	76	
27	7.864583	Bb2	46	93	26	8.346354	Bb2	46	77	
28	7.949219	Eb2	39	103	28	8.544271	Eb2	39	94	
29	7.950521	Eb1	27	96	29	8.549479	Eb1	27	93	
30	7.954427	Eb3	51	98	27	8.539062	Eb3	51	98	
31	8.611979	G2	43	90	31	9.520833	G2	43	73	
32	8.613281	G1	31	78	32	9.523438	G1	31	75	
33	8.614583	G3	55	86	30	9.497396	G3	55	73	
34	8.707031	Bb3	58	103	33	9.697917	Bb3	58	77	
35	8.718750	Bb2	46	104	34	9.734375	Bb2	46	79	
36	8.726562	Bb1	34	90	35	9.736979	Bb1	34	75	
37	9.153646	C4	60	104	37	10.320312	C4	60	77	
38	9.153646	C3	48	104	*	-1	*	-1	-1	
39	9.156250	C2	36	91	36	10.312500	C2	36	80	
40	9.736979	C#4	61	99	39	10.984375	C#4	61	86	
41	9.738281	C#3	49	101	41	11.000000	C#3	49	87	
42	9.743490	C#2	37	93	40	11.000000	C#2	37	83	
43	10.735677	G5	79	107	46	12.000000	G5	79	64	
44	10.736979	Bb5	82	103	47	12.033854	Bb5	82	63	
45	10.742188	Eb6	87	97	48	12.057292	Eb6	87	63	
46	10.742188	G6	91	109	*	-1	*	-1	-1	
47	10.743490	Bb4	70	107	45	11.997396	Bb4	70	62	
48	10.744792	G4	67	96	44	11.984375	G4	67	66	
49	10.751302	Eb4	63	88	43	11.960938	Eb4	63	63	
50	10.751302	Bb3	58	94	*	-1	*	-1	-1	
51	12.075521	C1	24	83	50	13.164062	C1	24	61	
52	12.080729	C2	36	84	51	13.174479	C2	36	62	
53	12.085938	C3	48	93	52	13.208333	C3	48	60	
54	12.184896	Eb3	51	100	53	13.382812	Eb3	51	75	
55	12.194010	Eb2	39	101	54	13.411458	Eb2	39	72	
56	12.194010	Eb1	27	97	55	13.427083	Eb1	27	78	
57	12.807292	G#2	44	95	56	14.226562	G#2	44	59	
58	12.807292	G#3	56	96	58	14.265625	G#3	56	62	
59	12.808594	G#1	32	91	57	14.244792	G#1	32	65	
60	13.006510	C4	60	107	60	14.562500	C4	60	60	
61	13.007812	C3	48	103	61	14.575521	C3	48	59	
62	13.013021	C2	36	85	59	14.562500	C2	36	59	
63	13.371094	C#4	61	102	64	14.890625	C#4	61	64	
